,,,,,,EXTINTORES DE PLANTA,,,,,,,,,,,,,,,,
,Orden,LOTE,RESPONSABLE,EDIFICO,UBICACIÓN,TIPO,CLASE,CAP.,VTO DE CARGA,VTO PH,BALIZA,CARTEL EN ALTURA,DEMARCACIÓN DE PISO,NRO INTERNO,NRO FABRICACIÓN,AÑO,MARCA,ESTADO,RESERVA,ORIGEN RESERVA,VENCIMIENTO DE LA RESERVA,EMPRESA DE MANTENIMIENTO
,29,LOTE 101,,Chapisteria,Chapa - Col. F/12,CO2,BC,3.5 Kg,11/2020,11/2023,,,,230,855578,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,30,LOTE 101,,Chapisteria,Chapa - Col. F/10,AFFF,AB,10 Lts,11/2020,11/2020,,,,231,468971,2018,Melisam,En planta,,#N/A,#N/A,Cassaro
,31,LOTE 101,,Chapisteria,Chapa - Col. F/08,CO2,BC,3.5 Kg,11/2020,11/2023,,,,232,855690,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,32,LOTE 101,,Chapisteria,Chapa - Col. F/04,POLVO,ABC,10 Kg,9/2020,9/2023,,,,233,625186,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,33,LOTE 101,,Chapisteria,Chapa - Col. G/04,CO2,BC,3.5 Kg,11/2020,11/2023,,,,234,855562,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,34,LOTE 101,,Chapisteria,Chapa - Col. G/08,CO2,BC,3.5 Kg,11/2020,11/2023,,,,235,855563,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,35,LOTE 101,,Chapisteria,Chapa - Col. G/10,CO2,BC,3.5 Kg,11/2020,11/2023,,,,236,855659,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,36,LOTE 101,,Chapisteria,Chapa - Col. G/20,CO2,BC,3.5 Kg,11/2020,11/2023,,,,237,855667,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,37,LOTE 101,,Chapisteria,Chapa - Col. G/26,CO2,BC,3.5 Kg,11/2020,11/2023,,,,238,855556,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,38,LOTE 101,,Chapisteria,Chapa - Frente a Sub Estación Grande,CO2,BC,3.5 Kg,11/2020,11/2023,,,,239,855666,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,39,LOTE 101,,Chapisteria,Chapa - Oficina,CO2,BC,3.5 Kg,11/2020,11/2023,,,,240,855699,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,40,LOTE 101,,Chapisteria,Chapa - Oficina,CO2,BC,3.5 Kg,11/2020,11/2023,,,,241,855594,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,41,LOTE 101,,Chapisteria,Chapa - Enfermería,CO2,BC,3.5 Kg,11/2020,11/2023,,,,242,855599,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,42,LOTE 101,,Chapisteria,Chapa - Col. C/28,CO2,BC,3.5 Kg,11/2020,11/2023,,,,243,855588,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,43,LOTE 101,,Chapisteria,Chapa - Alero Sur,POLVO,ABC,10 Kg,5/2021,5/2021,,,,244,1589906,2016,Cassaro,En planta,,#N/A,#N/A,Cassaro
,44,LOTE 101,,Chapisteria,Chapa - Alero Sur,POLVO,ABC,10 Kg,5/2021,5/2021,,,,245,1589750,2016,Cassaro,En planta,,#N/A,#N/A,Cassaro
,45,LOTE 101,,Chapisteria,Chapa - Alero Sur,POLVO,ABC,10 Kg,5/2021,5/2021,,,,246,1589909,2016,Cassaro,En planta,,#N/A,#N/A,Cassaro
,46,LOTE 101,,Chapisteria,Chapa - Grupo Electrogeno,AFFF,AB,10 Lts,11/2020,11/2023,,,,247,468472,2018,Melisam,En planta,,#N/A,#N/A,Cassaro
,47,LOTE 101,,Chapisteria,Chapa - Metrologia Grande,CO2,BC,10 Kg,11/2020,11/2023,,,,248,856976,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,48,LOTE 101,,Chapisteria,Chapa - Metrologia Grande,CO2,BC,10 Kg,11/2020,11/2023,,,,249,857600,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,49,LOTE 101,,Chapisteria,Chapa - Metrologia Grande,AFFF,AB,10 Lts,11/2020,11/2020,,,,250,468737,2018,Melisam,En planta,,#N/A,#N/A,Cassaro
,50,LOTE 101,,Chapisteria,Chapa - Metrologia Grande,CO2,BC,3.5 Kg,11/2020,11/2023,,,,251,852984,2018,Norbco,En planta,,#N/A,#N/A,Cassaro
,51,LOTE 101,,Chapisteria,Chapa - Metrologia Grande,CO2,BC,3.5 Kg,11/2020,11/2023,,,,252,853015,2018,Norbco,En planta,,#N/A,#N/A,Cassaro
,52,LOTE 101,,Chapisteria,Chapa - Col. C/22,CO2,BC,10 Kg,11/2020,11/2023,,,,253,856966,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,53,LOTE 101,,Chapisteria,Chapa - Col. D/04,AFFF,AB,10 Lts,11/2020,11/2020,,,,254,468101,2018,Melisam,En planta,,#N/A,#N/A,Cassaro
,54,LOTE 101,,Chapisteria,Chapa - Metrologia Chica,CO2,BC,3.5 Kg,12/2020,12/2024,,,,255,2109,2009,Horizonte,En planta,,#N/A,#N/A,Cassaro
,55,LOTE 101,,Chapisteria,Chapa - Metrologia Chica,CO2,BC,3.5 Kg,12/2020,12/2024,,,,256,2328,2009,Horizonte,En planta,,#N/A,#N/A,Cassaro
,56,LOTE 101,,Chapisteria,Chapa - Metrologia Grande,POLVO,ABC,5 Kg,10/2020,10/2023,,,,257,777918,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,57,LOTE 101,,Chapisteria,Chapa - Metrologia Grande,POLVO,ABC,5 Kg,10/2020,10/2023,,,,258,760425,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,58,LOTE 101,,Chapisteria,Chapa - Partes Móviles,CO2,BC,3.5 Kg,11/2020,11/2023,,,,271,857007,2018,Drago,En planta,,#N/A,#N/A,Cassaro
