,,,,,,EXTINTORES DE PLANTA,,,,,,,,,,,,,,,,
,Orden,LOTE,RESPONSABLE,EDIFICO,UBICACIÓN,TIPO,CLASE,CAP.,VTO DE CARGA,VTO PH,BALIZA,CARTEL EN ALTURA,DEMARCACIÓN DE PISO,NRO INTERNO,NRO FABRICACIÓN,AÑO,MARCA,ESTADO,RESERVA,ORIGEN RESERVA,VENCIMIENTO DE LA RESERVA,EMPRESA DE MANTENIMIENTO
,142,LOTE 101,,Pintura,Nivel 9 Ingr. Clean Room UTE2,POLVO,ABC,10 Kg,,7/2023,,,,359,624903,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,143,LOTE 101,,Pintura,Nivel 9000 UTE 2,POLVO,ABC,5 Kg,9/2020,9/2023,,,,360,657398,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,144,LOTE 101,,Pintura,Nivel 9000 Col. C-D/15-16,CO2,BC,3.5 Kg,,8/2023,,,,361,857109,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,145,LOTE 101,,Pintura,Nivel 9000 Col. C-D/12,CO2,BC,3.5 Kg,,8/2023,,,,362,855671,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,146,LOTE 101,,Pintura,Nivel 9000 Col. C-D/18,POLVO,ABC,5 Kg,9/2020,9/2023,,,,363,669416,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,147,LOTE 101,,Pintura,Nivel 9000 Col. C-D/21,POLVO,ABC,5 Kg,9/2020,9/2023,,,,364,669216,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,148,LOTE 101,,Pintura,Nivel 14000 Col. C-D/11,CO2,BC,3.5 Kg,,8/2023,,,,367,853240,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,149,LOTE 101,,Pintura,Nivel 14000 Col. C-D/21,CO2,BC,3.5 Kg,,8/2023,,,,368,857055,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,150,LOTE 101,,Pintura,Playa Elta antigranizo de Pintura,POLVO,ABC,10 Kg,3/2021,3/2025,,,,369,1917,2010,Horizonte,En planta,,#N/A,#N/A,Cassaro
,151,LOTE 101,,Pintura,Playa Elta antigranizo de Pintura,POLVO,ABC,10 Kg,3/2021,3/2025,,,,370,4240,2010,Horizonte,En planta,,#N/A,#N/A,Cassaro
,152,LOTE 101,,Pintura,Playa Elta antigranizo de Pintura,POLVO,ABC,10 Kg,3/2021,3/2025,,,,371,4495,2010,Horizonte,En planta,,#N/A,#N/A,Cassaro
,153,LOTE 101,,Pintura,Nivel 00 Col. D-E/07,POLVO,ABC,10 Kg,9/2020,9/2023,,,,372,625380,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,154,LOTE 101,,Pintura,Nivel 14000 Col. C/12-13,CO2,BC,10 Kg,11/2020,11/2023,,,,373,856984,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,155,LOTE 101,,Pintura,Nivel 14000 Col. C/4,CO2,BC,10 Kg,11/2020,11/2023,,,,374,859790,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,156,LOTE 101,,Pintura,Nivel 14000 Col. C-D/8,CO2,BC,10 Kg,12/2020,12/2023,,,,378,859799,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,157,LOTE 101,,Pintura,Nivel 14000 Col. C-D/5,CO2,BC,10 Kg,12/2020,12/2023,,,,379,859792,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,158,LOTE 101,,Pintura,Montacarga sur de Pintura,CO2,BC,5 Kg,7/2021,7/2021,,,,380,1074,2011,Horizonte,En planta,,#N/A,#N/A,Cassaro
,159,LOTE 101,,Pintura,Central de Pintura,CO2,BC,10 Kg,11/2020,11/2023,,,,381,855850,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,160,LOTE 101,,Pintura,Central de Pintura,CO2,BC,10 Kg,11/2020,11/2023,,,,382,855872,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,161,LOTE 101,,Pintura,Central de Pintura,CO2,BC,10 Kg,11/2020,11/2023,,,,383,855845,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,162,LOTE 101,,Pintura,Central de Pintura - Deposito de Solvente,CO2,BC,10 Kg,11/2020,11/2023,,,,384,855853,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,163,LOTE 101,,Pintura,Central de Pintura,CO2,BC,10 Kg,11/2020,11/2023,,,,385,855898,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,164,LOTE 101,,Pintura,Central de Pintura,CO2,BC,10 Kg,11/2020,11/2023,,,,386,855846,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,165,LOTE 101,,Pintura,Central de Pintura,CO2,BC,10 Kg,11/2020,11/2023,,,,387,853285,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,166,LOTE 101,,Pintura,Central de Pintura,CO2,BC,10 Kg,11/2020,11/2023,,,,388,855856,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,167,LOTE 101,,Pintura,Central de Pintura - Sala de Tableros,CO2,BC,10 Kg,11/2020,11/2023,,,,389,855880,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,168,LOTE 101,,Pintura,Sub Estacion de Pintura,CO2,BC,10 Kg,12/2020,12/2023,,,,400,855899,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,169,LOTE 101,,Pintura,Central de Pintura,CO2,BC,10 Kg,11/2020,11/2023,,,,401,855889,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,170,LOTE 101,,Pintura,Central de Pintura - Deposito de Solvente,CO2,BC,10 Kg,11/2020,11/2023,,,,402,855870,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,171,LOTE 101,,Pintura,Central de Pintura,CO2,BC,10 Kg,11/2020,11/2023,,,,403,855890,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,172,LOTE 101,,Pintura,Central de Pintura,CO2,BC,10 Kg,11/2020,11/2023,,,,404,857000,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,173,LOTE 101,,Pintura,Caldera de Pintura,POLVO,ABC,10 Kg,9/2020,9/2023,,,,405,625236,2018,Melisam,En planta,,#N/A,#N/A,Cassaro
,174,LOTE 101,,Pintura,Central Termica de pintura,CO2,BC,10 Kg,,11/2023,,,,406,855879,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,175,LOTE 101,,Pintura,Compresor de Pintura,CO2,BC,5 Kg,,8/2023,,,,407,855786,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,176,LOTE 101,,Pintura,Compresor de Pintura,CO2,BC,3.5 Kg,,8/2023,,,,408,855564,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,177,LOTE 101,,Pintura,Caldera de Pintura,CO2,BC,3.5 Kg,11/2020,11/2023,,,,409,855600,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,178,LOTE 101,,Pintura,Grupo Electrogeno,POLVO,ABC,10 Kg,9/2020,9/2023,,,,410,625259,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,179,LOTE 101,,Pintura,Nivel 9000 - Col. B/01,POLVO,ABC,10 Kg,12/2020,12/2023,,,,411,625145,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,180,LOTE 101,,Pintura,Nivel 9000 - Col. B/06,POLVO,ABC,10 Kg,9/2020,9/2023,,,,412,625279,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,181,LOTE 101,,Pintura,Nivel 9000 - Col. C/01,POLVO,ABC,10 Kg,9/2020,9/2023,,,,413,625579,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,182,LOTE 101,,Pintura,Nivel 9000 - Col. C/09,POLVO,ABC,10 Kg,9/2020,9/2023,,,,414,657669,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,183,LOTE 101,,Pintura,Nivel 9000 - Col. C/07,POLVO,ABC,10 Kg,9/2020,9/2023,,,,415,625297,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,184,LOTE 101,,Pintura,Nivel 9000 - Col. C/08,POLVO,ABC,10 Kg,9/2020,9/2023,,,,416,625570,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,185,LOTE 101,,Pintura,Nivel 9000 - Col. C/10,POLVO,ABC,10 Kg,9/2020,9/2023,,,,417,625219,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,186,LOTE 101,,Pintura,Nivel 9000 - Col. C/12,POLVO,ABC,10 Kg,9/2020,9/2023,,,,418,625359,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,187,LOTE 101,,Pintura,Nivel 9000 - Col. C/13,POLVO,ABC,10 Kg,9/2020,9/2023,,,,419,657674,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,188,LOTE 101,,Pintura,Nivel 9000 - Col. C/14,POLVO,ABC,25 Kg,,7/2023,,,,420,52122,2018,Melisam,En planta,,#N/A,#N/A,Cassaro
,189,LOTE 101,,Pintura,Nivel 9000 - Col. C/15,POLVO,ABC,10 Kg,9/2020,9/2023,,,,421,625578,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,190,LOTE 101,,Pintura,Nivel 9000 - Col. C/16,POLVO,ABC,25 Kg,,7/2023,,,,422,51959,2018,Melisam,En planta,,#N/A,#N/A,Cassaro
,191,LOTE 101,,Pintura,Nivel 9000 - Col. C/17,POLVO,ABC,25 Kg,6/2021,7/2023,,,,423,52158,2018,Melisam,En planta,,#N/A,#N/A,Cassaro
,192,LOTE 101,,Pintura,Nivel 9000 - Col. C/18,POLVO,ABC,10 Kg,9/2020,9/2023,,,,424,625367,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,193,LOTE 101,,Pintura,Nivel 9000 - UTE 3,CO2,BC,5 Kg,,8/2023,,,,425,855724,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,194,LOTE 101,,Pintura,Nivel 9000 - Col. C/21 Este,POLVO,ABC,10 Kg,9/2020,9/2023,,,,426,657581,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,195,LOTE 101,,Pintura,Nivel 9000 - Col. C/21 Oeste,POLVO,ABC,25 Kg,,7/2023,,,,427,52134,2018,Melisam,En planta,,#N/A,#N/A,Cassaro
,196,LOTE 101,,Pintura,Nivel 14000 - Col. C/18,POLVO,ABC,25 Kg,,7/2023,,,,428,51843,2018,Melisam,En planta,,#N/A,#N/A,Cassaro
,197,LOTE 101,,Pintura,Nivel 14000 - Col. C/15,POLVO,ABC,25 Kg,,7/2023,,,,429,52120,2018,Melisam,En planta,,#N/A,#N/A,Cassaro
,198,LOTE 101,,Pintura,Nivel 9000 - Col. C/18 Oeste,POLVO,ABC,10 Kg,9/2020,9/2023,,,,430,625003,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,199,LOTE 101,,Pintura,Nivel 9000 - Col. C-D/19,AFFF,AB,25 Lts,,7/2020,,,,431,52116,2018,Melisam,En planta,,#N/A,#N/A,Cassaro
,200,LOTE 101,,Pintura,Nivel 9000 - Col. C-D/14,POLVO,ABC,25 Kg,,7/2023,,,,432,51957,2018,Melisam,En planta,,#N/A,#N/A,Cassaro
,201,LOTE 101,,Pintura,Nivel 9000 - Col. C-D/16,POLVO,ABC,25 Kg,,7/2023,,,,433,52160,2018,Melisam,En planta,,#N/A,#N/A,Cassaro
,202,LOTE 101,,Pintura,Nivel 9000 - Col. C-D/11,AFFF,AB,25 Lts,,7/2020,,,,434,52137,2018,Melisam,En planta,,#N/A,#N/A,Cassaro
,203,LOTE 101,,Pintura,Nivel 9000 Cuba 1,CO2,BC,5 Kg,,8/2023,,,,435,855764,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,204,LOTE 101,,Pintura,Nivel 9000 - Col. C/23,POLVO,ABC,10 Kg,,7/2023,,,,436,625596,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,205,LOTE 101,,Pintura,Nivel 9000 - Col. D/08,AFFF,AB,25 Lts,,7/2020,,,,437,52136,2018,Melisam,En planta,,#N/A,#N/A,Cassaro
,206,LOTE 101,,Pintura,Nivel 9000 - Col. C -D/03,POLVO,ABC,10 Kg,9/2020,9/2023,,,,438,625338,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,207,LOTE 101,,Pintura,Nivel 9000 - Rev. Final Esmalte,POLVO,ABC,10 Kg,9/2020,9/2023,,,,439,625100,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,208,LOTE 101,,Pintura,Nivel 9000 - Rev. Final Esmalte,POLVO,ABC,10 Kg,9/2020,9/2023,,,,450,625558,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,209,LOTE 101,,Pintura,Nivel 9000 - Col. D/10,POLVO,ABC,10 Kg,9/2020,9/2023,,,,451,625544,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,210,LOTE 101,,Pintura,Nivel 9000 - Cabina Esmalte,CO2,BC,5 Kg,,8/2023,,,,452,857963,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,211,LOTE 101,,Pintura,Nivel 9000 - Col. D/14,POLVO,ABC,10 Kg,9/2020,9/2023,,,,453,625226,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,212,LOTE 101,,Pintura,Nivel 9000 - Cabina Esmalte,CO2,BC,10 Kg,11/2020,11/2023,,,,454,856985,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,213,LOTE 101,,Pintura,Nivel 9000 - Col. E/19,POLVO,ABC,10 Kg,9/2020,9/2023,,,,455,625513,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,214,LOTE 101,,Pintura,Nivel 9000 - Col. E/17,POLVO,ABC,10 Kg,9/2020,9/2023,,,,456,625325,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,215,LOTE 101,,Pintura,Nivel 9000 - Oficina,CO2,BC,3.5 Kg,,8/2023,,,,457,855680,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,216,LOTE 101,,Pintura,Nivel 9000 - Oficina,CO2,BC,3.5 Kg,,8/2023,,,,458,855582,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,217,LOTE 101,,Pintura,Nivel 9000 - Enfermería,CO2,BC,3.5 Kg,,8/2023,,,,459,855621,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,218,LOTE 101,,Pintura,Nivel 9000 - Col. E/10,POLVO,ABC,10 Kg,9/2020,9/2023,,,,460,625553,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,219,LOTE 101,,Pintura,Nivel 9000 - Col. E/06,POLVO,ABC,10 Kg,9/2020,9/2023,,,,461,625559,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,220,LOTE 101,,Pintura,Nivel 9000 - Col. E/03,POLVO,ABC,10 Kg,9/2020,9/2023,,,,462,624909,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,221,LOTE 101,,Pintura,Nivel 9000 - Cabina de Lijado,POLVO,ABC,10 Kg,9/2020,9/2023,,,,464,625573,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,222,LOTE 101,,Pintura,Nivel 9000 - Cabina de Lijado,CO2,BC,10 Kg,11/2020,11/2023,,,,465,856970,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,223,LOTE 101,,Pintura,Playa Elta antigranizo de Pintura,CO2,BC,5 Kg,6/2021,6/2021,,,,466,1320,2011,Horizonte,En planta,,#N/A,#N/A,Cassaro
,224,LOTE 101,,Pintura,Playa Elta antigranizo de Pintura,CO2,BC,5 Kg,6/2021,6/2021,,,,467,1488,2011,Horizonte,En planta,,#N/A,#N/A,Cassaro
,225,LOTE 101,,Pintura,Playa Elta antigranizo de Pintura,CO2,BC,5 Kg,6/2021,6/2021,,,,468,1482,2011,Horizonte,En planta,,#N/A,#N/A,Cassaro
,226,LOTE 101,,Pintura,Playa Elta antigranizo de Pintura,CO2,BC,5 Kg,6/2021,6/2021,,,,469,1547,2011,Horizonte,En planta,,#N/A,#N/A,Cassaro
,227,LOTE 101,,Pintura,Playa Elta antigranizo de Pintura,CO2,BC,5 Kg,6/2021,6/2021,,,,470,1242,2011,Horizonte,En planta,,#N/A,#N/A,Cassaro
,228,LOTE 101,,Pintura,Nivel 20000 - Col. B/12,POLVO,ABC,10 Kg,,7/2023,,,,471,625230,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,229,LOTE 101,,Pintura,Nivel 20000 - Col. B/15,POLVO,ABC,10 Kg,,7/2023,,,,472,625575,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,230,LOTE 101,,Pintura,Nivel 20000 - Col. B/18,POLVO,ABC,10 Kg,,7/2023,,,,473,625232,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,231,LOTE 101,,Pintura,Nivel 20000 - Col. B/21,POLVO,ABC,10 Kg,,7/2023,,,,474,625564,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,232,LOTE 101,,Pintura,Nivel 20000 - Col. C/22,CO2,BC,10 Kg,11/2020,11/2023,,,,475,855843,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,233,LOTE 101,,Pintura,Nivel 20000 - Col. C/19,CO2,BC,10 Kg,11/2020,11/2023,,,,476,855868,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,234,LOTE 101,,Pintura,Nivel 20000 - Col. C/16,CO2,BC,10 Kg,11/2020,11/2023,,,,477,853296,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,235,LOTE 101,,Pintura,Nivel 20000 - Col. C/14,AFFF,AB,25 Lts,,7/2020,,,,478,52141,2018,Melisam,En planta,,#N/A,#N/A,Cassaro
,236,LOTE 101,,Pintura,Nivel 20000 - Col. C/10,CO2,BC,10 Kg,11/2020,11/2023,,,,479,855876,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,237,LOTE 101,,Pintura,Nivel 20000 - Col. D/09,POLVO,ABC,10 Kg,,7/2023,,,,480,624839,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,238,LOTE 101,,Pintura,Nivel 20000 - Col. D/12,CO2,BC,10 Kg,11/2020,11/2023,,,,481,855842,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,239,LOTE 101,,Pintura,Nivel 20000 - Col. D/15,CO2,BC,10 Kg,11/2020,11/2023,,,,482,855847,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,240,LOTE 101,,Pintura,Nivel 20000 - Col. D/18,POLVO,ABC,25 Kg,,7/2023,,,,483,52107,2018,Melisam,En planta,,#N/A,#N/A,Cassaro
,241,LOTE 101,,Pintura,Nivel 20000 - Col. D/21,POLVO,ABC,10 Kg,,7/2023,,,,484,625238,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,242,LOTE 101,,Pintura,Nivel 20000 - Col. E/20,POLVO,ABC,10 Kg,,7/2023,,,,485,625074,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,243,LOTE 101,,Pintura,Nivel 20000 - Col. E/17,POLVO,ABC,10 Kg,,7/2023,,,,486,625231,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,244,LOTE 101,,Pintura,Nivel 20000 - Col. E/14,POLVO,ABC,25 Kg,,7/2023,,,,487,627677,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,245,LOTE 101,,Pintura,Nivel 20000 - Col. E/11,POLVO,ABC,10 Kg,,7/2023,,,,488,625237,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,246,LOTE 101,,Pintura,Nivel 20000 - Col C/16 bis,CO2,BC,10 Kg,12/2020,12/2023,,,,489,858295,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,247,LOTE 101,,Chapisteria,Sala Bomba de Enfriamiento,CO2,BC,5 Kg,,8/2023,,,,905,855811,2011,Horizonte,En planta,,#N/A,#N/A,Cassaro
,248,LOTE 101,,TAR,T.A.R - Tanque,CO2,BC,5 Kg,12/2020,12/2024,,,,906,855565,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,249,LOTE 101,,TAR,T.A.R - Dosificacion,CO2,BC,5 Kg,12/2020,12/2024,,,,907,855645,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,250,LOTE 101,,TAR,T.A.R - Sala de tableros,CO2,BC,5 Kg,11/2020,11/2024,,,,908,855629,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,251,LOTE 101,,TAR,T.A.R - interno pasillo,CO2,BC,5 Kg,3/2021,3/2025,,,,909,855636,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,252,LOTE 101,,TAR,T.A.R - interno pasillo,CO2,BC,5 Kg,3/2021,3/2021,,,,910,855651,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,253,LOTE 101,,TAR,T.A.R - Agua Desmineralizada,CO2,BC,5 Kg,12/2020,12/2024,,,,911,855622,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,254,LOTE 101,,TAR,T.A.R - Prensa barro,CO2,BC,5 Kg,3/2021,3/2025,,,,912,857014,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,255,LOTE 101,,TAR,T:A.R - Grupo Electrogeno,AFFF,AB,10 Lts,11/2020,11/2020,,,,913,468827,2018,Melisam,En planta,,#N/A,#N/A,Cassaro
,256,LOTE 101,,TAR,Sub Estación T.A.R,CO2,BC,10 Kg,12/2020,11/2020,,,,914,858755,2018,Norbco,En planta,,#N/A,#N/A,Cassaro
,257,LOTE 101,,TAR,Sub Estación T.A.R,CO2,BC,10 Kg,12/2020,12/2023,,,,915,858299,2018,Norbco,En planta,,#N/A,#N/A,Cassaro
,258,LOTE 101,,Inst. Generales,Sub Estación 66 KW - Mecánica,CO2,BC,10 Kg,12/2020,12/2023,,,,921,858800,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,259,LOTE 101,,Inst. Generales,Sub Estación 66 KW - Pasillo,CO2,BC,10 Kg,12/2020,12/2023,,,,922,858791,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,260,LOTE 101,,Inst. Generales,Sub Estación 66 KW - Carroceria,CO2,BC,10 Kg,12/2020,12/2023,,,,923,858290,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,261,LOTE 101,,Inst. Generales,Sub Estación 66 KW - Mecánica,CO2,BC,10 Kg,12/2020,12/2023,,,,924,858296,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,262,LOTE 101,,Inst. Generales,Sub Estación 66 KW - Pasillo,CO2,BC,10 Kg,12/2020,12/2023,,,,925,858771,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,263,LOTE 101,,Inst. Generales,Sub Estación 66 KW - Mecánica,CO2,BC,10 Kg,12/2020,12/2023,,,,926,858288,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,264,LOTE 101,,Inst. Generales,Sub Estación 66 KW - Carroceria,CO2,BC,10 Kg,12/2020,12/2023,,,,927,858293,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,265,LOTE 101,,Inst. Generales,Sub Estación 66 KW - Carroceria,CO2,BC,10 Kg,12/2020,12/2023,,,,928,858766,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,266,LOTE 101,,Inst. Generales,Sub Estación 66 KW - Grupo Electrogeno,POLVO,ABC,5 Kg,12/2020,12/2023,,,,929,657373,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,267,LOTE 101,,Pintura,Dep. Combustible Central Hidrica norte,POLVO,ABC,5 Kg,9/2020,9/2023,,,,930,760566,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,268,LOTE 101,,Obradores,Iscot - Descanso,POLVO,ABC,5 Kg,10/2020,10/2023,,,,1071,647705,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,269,LOTE 101,,Obradores,Iscot - Oficina,CO2,BC,5 Kg,11/2020,11/2023,,,,1072,857599,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,270,LOTE 101,,Obradores,Kaizen Auto - Oficina,POLVO,ABC,5 Kg,6/2021,6/2024,,,,1073,760259,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,271,LOTE 101,,Obradores,Iscot - Despintado,CO2,BC,5 Kg,,11/2023,,,,1074,857428,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,272,LOTE 101,,Obradores,Iscot - Despintado,AFFF,AB,10 Lts,12/2020,12/2020,,,,1075,300333,2018,Melisam,En planta,,#N/A,#N/A,Cassaro
,273,LOTE 101,,Obradores,Iscot - Despintado,POLVO,ABC,10 Kg,,10/2023,,,,1076,676153,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,274,LOTE 101,,Obradores,Iscot - Ex prensado,CO2,BC,3.5 Kg,,8/2025,,,,1077,857103,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,275,LOTE 101,,Obradores,Iscot - Ex prensado,CO2,BC,3.5 Kg,3/2021,8/2025,,,,1078,852956,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,276,LOTE 101,,Pintura,Montacarga norte de Pintura,CO2,BC,5 Kg,,9/2023,,,,1079,855752,2018,Horizonte,En planta,,#N/A,#N/A,Cassaro
,277,LOTE 101,,Obradores,Kaizen Auto - Dposito Ex ABC,POLVO,ABC,10 Kg,6/2021,6/2024,,,,1080,676083,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,278,LOTE 101,,Obradores,Kaizen Auto - Galpon externo,POLVO,ABC,10 Kg,9/2020,9/2023,,,,1081,676032,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,279,LOTE 101,,Obradores,Kaizen Auto - Box 1 taller,POLVO,ABC,5 Kg,12/2020,12/2023,,,,1082,760394,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,280,LOTE 101,,Obradores,Kaizen Auto - Box 3 taller,POLVO,ABC,5 Kg,12/2020,12/2023,,,,1083,760934,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,281,LOTE 101,,Obradores,Kaizen Auto - Box 4-5 taller,POLVO,ABC,10 Kg,9/2020,9/2023,,,,1084,676025,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,282,LOTE 101,,Obradores,Kaizen Auto - Box 6-7 taller,POLVO,ABC,10 Kg,,7/2023,,,,1085,676104,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,283,LOTE 101,,Obradores,Iscot - Taller mantenimiento,CO2,BC,5 Kg,3/2021,3/2023,,,,1086,857463,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,284,LOTE 101,,Obradores,Iscot - Taller mantenimiento,CO2,BC,10 Kg,3/2021,3/2023,,,,1087,858796,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,285,LOTE 101,,Obradores,Kaizen Auto - Galpon de Pintado,POLVO,ABC,10 Kg,10/2020,10/2024,,,,1088,676736,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,286,LOTE 101,,Obradores,Kaizen Auto - Galpon de Pintado,POLVO,ABC,10 Kg,10/2020,10/2023,,,,1089,675977,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,287,LOTE 101,,Obradores,Kaizen Auto - Galpon de Pintado,POLVO,ABC,10 Kg,10/2020,10/2023,,,,1090,675994,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,288,LOTE 101,,Pintura,Playa Elta antigranizo de Pintura,POLVO,ABC,5 Kg,6/2021,6/2021,,,,1091,2439,2011,Cassaro,En planta,,#N/A,#N/A,Cassaro
,289,LOTE 101,,Chapisteria,kaizen Auto Galpon Guillotina,POLVO,ABC,5 Kg,6/2021,6/2024,,,,1092,886362,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,290,LOTE 101,,Obradores,Kaizen Auto - Galpon guillotina / dobladora,POLVO,ABC,5 Kg,6/2021,6/2024,,,,1092,886362,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
